color_group_id,color_group_label,hue_x,hue_y,sat_mean,val_mean
0,red,0.903654619652143,-0.03680551688647181,0.23281024038205775,0.6922347771214572
1,gray,-0.44165633197147547,0.6678603498006767,0.07671225858469083,0.6913430268726899
2,blue,-0.5326128143372876,-0.3033281022417235,0.15964710137291918,0.8068389637224139
3,yellow,0.4818281475787332,0.8141545233706179,0.2495770539717945,0.2693234245538441
4,blue,-0.7052005183345025,-0.2105708267421167,0.430446744980893,0.3525689344777488
5,orange,0.8727512047936865,0.255675099446699,0.337249765045669,0.36891535834578043
6,orange,0.7966206212063981,0.5055694908636978,0.25216646116500796,0.629094623570971
7,gray,0.31702361704135057,0.8506947278037743,0.03254822416420911,0.7339207498841583
8,orange,0.6322545842038989,0.41557079973018796,0.2643181556859962,0.6573716464819637
9,white,0.7322642281804344,0.6077647871753115,0.08654516705313511,0.8152440879640871
