objectId,department,title,final_group,objectBeginDate,objectEndDate,final_date,final_date_bucket_key,geo_options,geo_normalized_best_guess_location,geo_normalized_source_cols,geo_normalized_confidence,geo_normalized_geo_eligible,mapbox_feature_id,mapbox_place_name,geo_mapbox_lon,geo_mapbox_lat,geo_mapbox_relevance,geo_mapbox_accuracy,geo_mapbox_match_status,geo_mapbox_updated_at,color_eligible,top_color_hex,dominant_colors_hex,color_group_id,color_group_key,color_group_type,color_group_confidence
478436,Medieval Art,Jug,jug,300,699,499,0:499,||Kharga Oasis||||Byzantine Egypt||Coptic||,"Kharga Oasis, Byzantine Egypt",state||country,0.72,true,country.8771,Egypt,29.871903,26.494184,0.388889,country:0.39,matched,2026-04-27T16:46:49Z,True,#5b3b24,"[""#5b3b24"", ""#fdfdfd"", ""#53331c"", ""#ab8364"", ""#a37b5c"", ""#835d43"", ""#64432c"", ""#4b2d1b""]",2.0,brown_tan,single,1.0
670806,European Sculpture and Decorative Arts,Bottle vase,vase,1877,1887,1882,1500:1999,"||||||||||British, Scottish",Scotland,department||artistNationality,0.35,true,region.17487,"Scotland, United Kingdom",-4.095892,56.734282,1.0,region:1.00,matched,2026-04-27T16:47:05Z,True,#020103,"[""#020103"", ""#fdfdfd"", ""#02020b"", ""#020313"", ""#131c23"", ""#032433"", ""#031c2b"", ""#031423""]",0.0,multicolor,multicolor,0.315857
444503,Islamic Art,Ewer,pitcher,1300,1399,1349,1000:1499,||||||Iran||||,Iran,country,0.70,true,country.8814,Iran,54.301374,32.565838,1.0,country:1.00,matched,2026-04-27T16:46:46Z,True,#fefefe,"[""#fefefe"", ""#9c826c"", ""#ab9482"", ""#b39b84"", ""#9b8473"", ""#a38c7b"", ""#ab937c"", ""#a48b74""]",2.0,brown_tan,single,1.0
49909,Asian Art,Ewer with loop handles,pitcher,800,899,849,500:999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,False,,[],,,,
310215,The Michael C. Rockefeller Wing,Bottle,bottle,-600,-300,-450,-500:-1,||||||Peru||Paracas||,Peru,country,0.70,true,country.8880,Peru,-75.311132,-10.151093,1.0,country:1.00,matched,2026-04-27T16:47:00Z,True,#746344,"[""#746344"", ""#7c6b4c"", ""#6c5c42"", ""#7b6444"", ""#6c5a3c"", ""#74644a"", ""#735b3c"", ""#836c4b""]",2.0,brown_tan,single,1.0
444481,Islamic Art,Ewer,pitcher,1300,1399,1349,1000:1499,||||||Iran||||,Iran,country,0.70,true,country.8814,Iran,54.301374,32.565838,1.0,country:1.00,matched,2026-04-27T16:46:46Z,True,#021364,"[""#021364"", ""#02146b"", ""#fefefe"", ""#02135c"", ""#031b74"", ""#031b6c"", ""#020c63"", ""#010c5c""]",5.0,blue,single,0.843261
451619,Islamic Art,Vase,vase,1200,1299,1249,1000:1499,Kashan||||||Iran||||,"Kashan, Iran",city||country,0.88,true,place.1255534,"Kashan County, Isfahan, Iran",51.44271,33.98714,0.98,place:0.98,matched,2026-04-27T16:46:48Z,True,#baa494,"[""#baa494"", ""#b5a394"", ""#4b4b4c"", ""#444343"", ""#3c3c3b"", ""#fefefe"", ""#343433"", ""#44433c""]",0.0,multicolor,multicolor,0.52707
460280,Robert Lehman Collection,Maiolica: Apothecary jug (brocca),jug,1500,1535,1517,1500:1999,||||||||Italian (supposedly Faenza or Florence)||,"Faenza, Italy",culture||country,0.35,true,place.21547120,"Faenza, Ravenna, Italy",11.882004,44.285633,1.0,place:1.00,matched,2026-04-27T16:46:41Z,True,#fdfefd,"[""#fdfefd"", ""#f4f2e4"", ""#f4f3eb"", ""#eceadc"", ""#ecece3"", ""#f3ede3"", ""#f4fdfd"", ""#e4e3d4""]",9.0,white,single,0.620334
197224,European Sculpture and Decorative Arts,Albarello,jar,1550,1599,1574,1500:1999,||||||||||,,none,0.00,false,,,,,,,,,True,#fdfdfe,"[""#fdfdfe"", ""#bcab63"", ""#94823c"", ""#b4a35c"", ""#ac9b54"", ""#c3b26b"", ""#8c531b"", ""#9c8b4b""]",1.0,yellow,single,0.687887
53773,Asian Art,Jar,jar,1700,1799,1749,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#241313,"[""#241313"", ""#2b1b1c"", ""#342224"", ""#3c2a2c"", ""#433234"", ""#3a2425"", ""#fefefe"", ""#432b2d""]",4.0,red,single,0.694331
