image_url,is_grayscale,grayscale_ratio,sampled_pixels,error,checked_at
https://images.metmuseum.org/CRDImages/ad/original/DP258508.jpg,false,0.86874800,250000,,2026-04-28T14:00:24.792422+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP259091.jpg,false,0.12631200,250000,,2026-04-28T14:00:36.553937+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP259092.jpg,false,0.40776400,250000,,2026-04-28T14:00:25.306842+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP262010.jpg,false,0.02174000,250000,,2026-04-28T14:00:37.902351+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP262503.jpg,false,0.57565600,250000,,2026-04-28T14:00:40.600935+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP262505.jpg,false,0.81167200,250000,,2026-04-28T14:00:40.335467+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP264244.jpg,false,0.40534400,250000,,2026-04-28T14:00:32.384068+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP264248.jpg,false,0.31450800,250000,,2026-04-28T14:00:32.610243+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP265254.jpg,false,0.33496400,250000,,2026-04-28T14:00:37.527121+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP265256.jpg,false,0.31577600,250000,,2026-04-28T14:00:37.327845+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP265259.jpg,false,0.41051200,250000,,2026-04-28T14:00:30.964978+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP265271.jpg,false,0.46781200,250000,,2026-04-28T14:00:36.396048+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP265353.jpg,false,0.39985200,250000,,2026-04-28T14:00:35.048000+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP265358.jpg,false,0.38986400,250000,,2026-04-28T14:00:27.997020+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP266310.jpg,false,0.38353600,250000,,2026-04-28T14:00:30.228049+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP266313.jpg,false,0.25859200,250000,,2026-04-28T14:00:31.373376+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP266319.jpg,false,0.02813600,250000,,2026-04-28T14:00:37.058306+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP266324.jpg,false,0.01640800,250000,,2026-04-28T14:00:34.699857+00:00
https://images.metmuseum.org/CRDImages/ad/original/DP358620.jpg,false,0.62976000,250000,,2026-04-28T14:00:38.907109+00:00
https://images.metmuseum.org/CRDImages/ad/original/DT2096.jpg,false,0.12044000,250000,,2026-04-28T14:00:35.319714+00:00
https://images.metmuseum.org/CRDImages/ad/original/DT3673.jpg,false,0.00240400,250000,,2026-04-28T14:00:41.275434+00:00
https://images.metmuseum.org/CRDImages/ad/original/DT4341.jpg,false,0.07980000,250000,,2026-04-28T14:00:42.247716+00:00
https://images.metmuseum.org/CRDImages/ad/original/DT6596.jpg,false,0.70004400,250000,,2026-04-28T14:00:31.704236+00:00
https://images.metmuseum.org/CRDImages/ad/original/ES4174.jpg,false,0.01278800,250000,,2026-04-28T14:00:30.651637+00:00
https://images.metmuseum.org/CRDImages/ad/original/L.2009.22.199.jpg,false,0.07359200,250000,,2026-04-28T14:00:43.851515+00:00
https://images.metmuseum.org/CRDImages/an/original/DP-33292-001.jpg,false,0.18026000,250000,,2026-04-28T14:41:22.675811+00:00
https://images.metmuseum.org/CRDImages/an/original/DP-33296-002.jpg,false,0.76616800,250000,,2026-04-28T14:41:23.411582+00:00
https://images.metmuseum.org/CRDImages/ao/original/176624.jpg,true,1.00000000,250000,,2026-04-28T14:32:56.890292+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.12_b.jpg,false,0.00030000,250000,,2026-04-28T14:34:46.983887+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.14_a.jpg,false,0.00000000,250000,,2026-04-28T14:34:47.111286+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.15_a.jpg,false,0.00003200,250000,,2026-04-28T14:34:47.215701+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.19_a.jpg,false,0.00000000,250000,,2026-04-28T14:34:47.309301+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.28.jpg,false,0.00000000,250000,,2026-04-28T14:35:46.944701+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.31_a.jpg,false,0.00187600,250000,,2026-04-28T14:34:47.622571+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.32_a.jpg,false,0.00000000,250000,,2026-04-28T14:34:47.764358+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.36_a.jpg,false,0.00000000,250000,,2026-04-28T14:34:47.912199+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.245.38.jpg,false,0.00000000,250000,,2026-04-28T14:34:48.324562+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.246.3_a.jpg,false,0.00242400,250000,,2026-04-28T14:34:48.629368+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.246.4.jpg,false,0.00112000,250000,,2026-04-28T14:34:48.742756+00:00
https://images.metmuseum.org/CRDImages/ao/original/1970.246.7.jpg,false,0.00000000,250000,,2026-04-28T14:34:49.004826+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.1.JPG,false,0.01272800,250000,,2026-04-28T14:34:49.186357+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.10.JPG,false,0.01173600,250000,,2026-04-28T14:34:51.243955+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.11.JPG,false,0.02182800,250000,,2026-04-28T14:34:51.444863+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.12.JPG,false,0.01161200,250000,,2026-04-28T14:34:51.604945+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.14.JPG,false,0.12523200,250000,,2026-04-28T14:34:51.903623+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.15.JPG,false,0.12258800,250000,,2026-04-28T14:34:52.290893+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.16.JPG,false,0.08365200,250000,,2026-04-28T14:34:52.534092+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.17.jpg,false,0.00000000,250000,,2026-04-28T14:34:52.817121+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.2.JPG,false,0.00445200,250000,,2026-04-28T14:34:49.672695+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.23.jpg,false,0.00000000,250000,,2026-04-28T14:34:53.418540+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.24.jpg,false,0.00000000,250000,,2026-04-28T14:34:53.606978+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.27.jpg,false,0.00000400,250000,,2026-04-28T14:34:53.846177+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.28_b.jpg,false,0.00000800,250000,,2026-04-28T14:34:54.007786+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.29_a.jpg,false,0.26996800,250000,,2026-04-28T14:34:54.104770+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.3.JPG,false,0.12131600,250000,,2026-04-28T14:34:49.846733+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.4.JPG,false,0.03073600,250000,,2026-04-28T14:34:50.011059+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.40.jpg,false,0.00419200,250000,,2026-04-28T14:34:55.756341+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.41.JPG,false,0.07957600,250000,,2026-04-28T14:34:56.005091+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.5.jpg,false,0.01454400,250000,,2026-04-28T14:34:50.276663+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.6.JPG,false,0.00389600,250000,,2026-04-28T14:34:50.467107+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.7.JPG,false,0.00413200,250000,,2026-04-28T14:34:50.778166+00:00
https://images.metmuseum.org/CRDImages/ao/original/1976.287.8.JPG,false,0.24742400,250000,,2026-04-28T14:34:50.984675+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.137.jpg,false,0.00000000,250000,,2026-04-28T14:34:57.100198+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.139.JPG,false,0.15715200,250000,,2026-04-28T14:34:57.253198+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.154.jpg,false,0.00050800,250000,,2026-04-28T14:35:06.145129+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.155_a.jpg,false,0.00000000,250000,,2026-04-28T14:35:06.291957+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.229.JPG,false,0.00007200,250000,,2026-04-28T14:35:08.962375+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.231.JPG,false,0.18058000,250000,,2026-04-28T14:35:09.122785+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.25.jpg,false,0.00000000,250000,,2026-04-28T14:34:58.867302+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.260_b.jpg,false,0.00000000,250000,,2026-04-28T14:35:09.300144+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.3_a.jpg,false,0.00146000,250000,,2026-04-28T14:34:58.285211+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.41.jpg,false,0.00004000,250000,,2026-04-28T14:34:59.801934+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.56.jpg,false,0.00000000,250000,,2026-04-28T14:35:00.448829+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.65_a.jpg,false,0.00009200,250000,,2026-04-28T14:34:56.748170+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.66_a.jpg,false,0.00000000,250000,,2026-04-28T14:34:57.001147+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.71.JPG,false,0.00998000,250000,,2026-04-28T14:35:02.886259+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.86.jpg,false,0.00000000,250000,,2026-04-28T14:35:03.089193+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.92_a.jpg,false,0.00000000,250000,,2026-04-28T14:35:04.019370+00:00
https://images.metmuseum.org/CRDImages/ao/original/1978.412.95.jpg,false,0.00000000,250000,,2026-04-28T14:35:04.344217+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.205.11_a.jpg,false,0.00000000,250000,,2026-04-28T14:35:10.501096+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.205.2_1.jpg,false,0.31851600,250000,,2026-04-28T14:35:09.629114+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.205.3.jpg,false,0.00000000,250000,,2026-04-28T14:35:09.786037+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.205.8.JPG,false,0.00000000,250000,,2026-04-28T14:35:47.066212+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.206.1048_a.JPG,false,0.00000000,250000,,2026-04-28T14:35:17.100403+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.206.1093.JPG,false,0.00000000,250000,,2026-04-28T14:35:17.471223+00:00
https://images.metmuseum.org/CRDImages/ao/original/1979.206.1108_b.jpg,false,0.00000800,250000,,2026-04-28T14:35:18.370976+00:00
