objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels,color_group_key,color_group_type,color_group_confidence
52300,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-43748-001.jpg,0.771988,#837b6c,"[""#837b6c"", ""#d4cab4"", ""#cdc2ac"", ""#dcd4c3"", ""#7c7364"", ""#d5ccbb"", ""#8c8273"", ""#dbd2bd""]","[0.042865, 0.02694, 0.023865, 0.02377, 0.02181, 0.02137, 0.02091, 0.018385]",100,orange 0.59 + neutral 0.31,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52300_no_bg.png,True,275827.0,combo_1,combo,0.766243
52304,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-43749-002.jpg,0.00636,#fefefe,"[""#fefefe"", ""#837b6c"", ""#746c63"", ""#cbc4b3"", ""#cbc4ac"", ""#7b7364"", ""#7c746b"", ""#c3bcab""]","[0.01940089, 0.00809291, 0.00798898, 0.00781362, 0.00776166, 0.00763825, 0.00719009, 0.00711864]",100,orange 0.59 + neutral 0.31,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52304_no_bg.png,True,153962.0,combo_1,combo,0.728702
52305,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-43750-001.jpg,0.00714,#fefefe,"[""#fefefe"", ""#827464"", ""#847a6b"", ""#8c8273"", ""#7d7264"", ""#938474"", ""#8b7d6c"", ""#7b6c5c""]","[0.01907124, 0.00946083, 0.00931125, 0.00828914, 0.0073792, 0.00719846, 0.00719846, 0.00679335]",100,orange 0.59 + neutral 0.31,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52305_no_bg.png,True,160451.0,combo_1,combo,0.772149
52377,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/181347.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52377_no_bg.png,False,,,,
52383,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/225310.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52383_no_bg.png,False,,,,
52390,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/24_80_159.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52390_no_bg.png,False,,,,
52391,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/24_80_174_56629.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52391_no_bg.png,False,,,,
52397,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/93_3_76.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52397_no_bg.png,False,,,,
52398,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/93_3_61ab.JPG,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52398_no_bg.png,False,,,,
52399,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-35135-002.jpg,0.706132,#fdfefd,"[""#fdfefd"", ""#e4e3dc"", ""#fcfbf4"", ""#f4f4f3"", ""#f4f3ec"", ""#ecebe4"", ""#dcdad4"", ""#e5e4e2""]","[0.027515, 0.010205, 0.00725, 0.006805, 0.0066, 0.006255, 0.0058, 0.00572]",0,multicolor,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52399_no_bg.png,True,360506.0,multicolor,multicolor,0.549311
