objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
39531,1,24,lab_slots_ab_hist_rel_v2
39559,9,24,lab_slots_ab_hist_rel_v2
39576,1,24,lab_slots_ab_hist_rel_v2
39589,6,24,lab_slots_ab_hist_rel_v2
39590,10,24,lab_slots_ab_hist_rel_v2
39609,6,24,lab_slots_ab_hist_rel_v2
39631,9,24,lab_slots_ab_hist_rel_v2
39666,13,24,lab_slots_ab_hist_rel_v2
39885,0,24,lab_slots_ab_hist_rel_v2
40074,-1,24,lab_slots_ab_hist_rel_v2
40082,-1,24,lab_slots_ab_hist_rel_v2
40083,-1,24,lab_slots_ab_hist_rel_v2
40084,8,24,lab_slots_ab_hist_rel_v2
40095,15,24,lab_slots_ab_hist_rel_v2
40206,-1,24,lab_slots_ab_hist_rel_v2
40207,-1,24,lab_slots_ab_hist_rel_v2
40959,5,24,lab_slots_ab_hist_rel_v2
40960,-1,24,lab_slots_ab_hist_rel_v2
41076,1,24,lab_slots_ab_hist_rel_v2
41749,22,24,lab_slots_ab_hist_rel_v2
41753,1,24,lab_slots_ab_hist_rel_v2
42011,1,24,lab_slots_ab_hist_rel_v2
42190,13,24,lab_slots_ab_hist_rel_v2
42191,13,24,lab_slots_ab_hist_rel_v2
42192,22,24,lab_slots_ab_hist_rel_v2
42199,8,24,lab_slots_ab_hist_rel_v2
42200,13,24,lab_slots_ab_hist_rel_v2
42201,13,24,lab_slots_ab_hist_rel_v2
42202,8,24,lab_slots_ab_hist_rel_v2
42203,12,24,lab_slots_ab_hist_rel_v2
42204,8,24,lab_slots_ab_hist_rel_v2
42205,20,24,lab_slots_ab_hist_rel_v2
42206,20,24,lab_slots_ab_hist_rel_v2
42207,22,24,lab_slots_ab_hist_rel_v2
42208,9,24,lab_slots_ab_hist_rel_v2
42209,10,24,lab_slots_ab_hist_rel_v2
42211,9,24,lab_slots_ab_hist_rel_v2
42212,8,24,lab_slots_ab_hist_rel_v2
42213,13,24,lab_slots_ab_hist_rel_v2
42215,10,24,lab_slots_ab_hist_rel_v2
42216,13,24,lab_slots_ab_hist_rel_v2
42217,5,24,lab_slots_ab_hist_rel_v2
42218,-1,24,lab_slots_ab_hist_rel_v2
42220,-1,24,lab_slots_ab_hist_rel_v2
42221,22,24,lab_slots_ab_hist_rel_v2
42222,21,24,lab_slots_ab_hist_rel_v2
42223,22,24,lab_slots_ab_hist_rel_v2
42224,22,24,lab_slots_ab_hist_rel_v2
42226,22,24,lab_slots_ab_hist_rel_v2
42227,20,24,lab_slots_ab_hist_rel_v2
42228,21,24,lab_slots_ab_hist_rel_v2
42229,20,24,lab_slots_ab_hist_rel_v2
42232,20,24,lab_slots_ab_hist_rel_v2
42237,14,24,lab_slots_ab_hist_rel_v2
42238,4,24,lab_slots_ab_hist_rel_v2
42240,18,24,lab_slots_ab_hist_rel_v2
42241,3,24,lab_slots_ab_hist_rel_v2
42242,4,24,lab_slots_ab_hist_rel_v2
42243,23,24,lab_slots_ab_hist_rel_v2
42246,10,24,lab_slots_ab_hist_rel_v2
42247,1,24,lab_slots_ab_hist_rel_v2
42248,15,24,lab_slots_ab_hist_rel_v2
42249,15,24,lab_slots_ab_hist_rel_v2
42250,16,24,lab_slots_ab_hist_rel_v2
42251,20,24,lab_slots_ab_hist_rel_v2
42253,-1,24,lab_slots_ab_hist_rel_v2
42254,13,24,lab_slots_ab_hist_rel_v2
42255,13,24,lab_slots_ab_hist_rel_v2
42256,-1,24,lab_slots_ab_hist_rel_v2
42257,-1,24,lab_slots_ab_hist_rel_v2
42265,-1,24,lab_slots_ab_hist_rel_v2
42267,-1,24,lab_slots_ab_hist_rel_v2
42268,22,24,lab_slots_ab_hist_rel_v2
42272,-1,24,lab_slots_ab_hist_rel_v2
42278,6,24,lab_slots_ab_hist_rel_v2
42279,22,24,lab_slots_ab_hist_rel_v2
42282,1,24,lab_slots_ab_hist_rel_v2
42285,6,24,lab_slots_ab_hist_rel_v2
42290,-1,24,lab_slots_ab_hist_rel_v2
42293,1,24,lab_slots_ab_hist_rel_v2
42301,1,24,lab_slots_ab_hist_rel_v2
42305,1,24,lab_slots_ab_hist_rel_v2
42306,0,24,lab_slots_ab_hist_rel_v2
42307,22,24,lab_slots_ab_hist_rel_v2
42308,10,24,lab_slots_ab_hist_rel_v2
42309,1,24,lab_slots_ab_hist_rel_v2
42310,10,24,lab_slots_ab_hist_rel_v2
42311,6,24,lab_slots_ab_hist_rel_v2
42312,10,24,lab_slots_ab_hist_rel_v2
42313,22,24,lab_slots_ab_hist_rel_v2
