objectID,hue_group,mean_hue,distance_to_anchor,hue_weight,mean_saturation,swatches_used,used_source_fallback,source_manual_groups
42477,blue,188.3242,31.6758,0.095077,0.1049,6,False,"[""blue_green_family"",""blue_green_family""]"
448671,blue,187.9338,32.0662,0.427365,0.442065,7,False,"[""blue""]"
47375,blue,187.7905,32.2095,0.873754,0.901488,6,False,"[""cyan""]"
454767,blue,187.4585,32.5415,0.646557,0.695474,6,False,"[""cyan""]"
453996,blue,186.9683,33.0317,0.805705,0.813674,7,False,"[""cyan""]"
42414,blue,186.9662,33.0338,0.171526,0.175466,7,False,"[""blue_green_family""]"
46946,blue,186.7814,33.2186,0.69579,0.71794,7,False,"[""cyan""]"
770939,blue,186.0955,33.9045,0.573045,0.831747,4,False,"[""cyan""]"
202218,blue,185.9514,34.0486,0.324513,0.807794,4,False,"[""cyan""]"
451621,blue,185.7963,34.2037,0.314257,0.357603,5,False,"[""cyan""]"
447137,blue,254.4828,34.4828,0.018928,0.25,1,False,"[""blue""]"
447617,blue,185.513,34.487,0.836488,0.836488,8,False,"[""cyan""]"
47944,blue,184.8569,35.1431,0.199037,0.285078,5,False,"[""blue_green_family""]"
446908,blue,184.5567,35.4433,0.360213,0.415353,6,False,"[""cyan""]"
57517,blue,184.5332,35.4668,0.123053,0.140015,6,False,"[""celadon""]"
451365,blue,183.4651,36.5349,0.723917,0.731667,7,False,"[""cyan""]"
449508,blue,182.167,37.833,0.275594,0.53058,5,False,"[""blue_green_family""]"
448395,blue,182.0733,37.9267,0.757093,0.789198,7,False,"[""cyan""]"
444488,blue,181.8877,38.1123,0.121515,0.153984,6,False,"[""blue""]"
658718,blue,181.672,38.328,0.604209,0.604209,8,False,"[""cyan""]"
450747,blue,181.1846,38.8154,0.371174,0.391306,6,False,"[""cyan""]"
460664,blue,180.9399,39.0601,0.105414,0.150576,4,False,"[""celadon""]"
451200,blue,180.3765,39.6235,0.738676,0.738676,8,False,"[""cyan""]"
451352,blue,179.7855,40.2145,0.723877,0.732272,7,False,"[""cyan""]"
452610,blue,179.4706,40.5294,0.245547,0.254181,6,False,"[""cyan""]"
446652,blue,178.7526,41.2474,0.316759,0.345845,6,False,"[""cyan""]"
451618,blue,178.5716,41.4284,0.236433,0.288661,6,False,"[""cyan""]"
47657,blue,177.9446,42.0554,0.285041,0.43482,5,False,"[""blue""]"
192803,blue,176.7112,43.2888,0.48881,0.741875,4,False,"[""cyan""]"
47434,blue,176.6971,43.3029,0.353887,0.37902,6,False,"[""cyan""]"
450929,blue,176.6505,43.3495,0.10521,0.206979,4,False,"[""blue_green_family""]"
445289,blue,175.902,44.098,0.328684,0.35736,5,False,"[""cyan""]"
468394,green,130.0,0.0,0.003279,0.122449,1,False,"[""blue_green_family""]"
42285,green,129.9197,0.0803,0.056535,0.122251,3,False,"[""celadon""]"
46956,green,130.8119,0.8119,0.231186,0.259641,5,False,"[""green""]"
42268,green,131.7349,1.7349,0.140218,0.181547,6,False,"[""blue_green_family""]"
52659,green,131.9461,1.9461,0.055545,0.109622,3,False,"[""blue_green_family""]"
47157,green,132.0,2.0,0.000723,0.09901,1,False,"[""blue_green_family""]"
42476,green,132.6896,2.6896,0.089267,0.109808,4,False,"[""celadon""]"
50742,green,126.9637,3.0363,0.429953,0.442188,6,False,"[""green""]"
49920,green,133.4565,3.4565,0.136495,0.158394,5,False,"[""celadon""]"
46353,green,125.6577,4.3423,0.146724,0.294972,5,False,"[""green""]"
42293,green,125.3342,4.6658,0.026659,0.103214,2,False,"[""blue_green_family""]"
451635,green,125.2524,4.7476,0.017658,0.198094,2,False,"[""blue_green_family""]"
47401,green,124.8989,5.1011,0.079681,0.096593,4,False,"[""celadon""]"
50354,green,124.7429,5.2571,0.092299,0.11441,4,False,"[""celadon""]"
46830,green,135.5571,5.5571,0.442152,0.476078,6,False,"[""green""]"
48677,green,135.9302,5.9302,0.255309,0.327135,5,False,"[""green""]"
449497,green,136.3636,6.3636,0.004608,0.096491,1,False,"[""blue_green_family""]"
46712,green,136.3688,6.3688,0.089578,0.112622,4,False,"[""celadon""]"
45919,green,123.4678,6.5322,0.062195,0.119487,5,False,"[""blue_green_family""]"
46055,green,136.6164,6.6164,0.492471,0.532828,4,False,"[""green""]"
46919,green,136.7591,6.7591,0.316026,0.328649,6,False,"[""green""]"
46527,green,137.2786,7.2786,0.214907,0.228011,5,False,"[""green""]"
46544,green,122.6038,7.3962,0.115925,0.124245,5,False,"[""celadon""]"
42486,green,122.4087,7.5913,0.041775,0.089114,4,False,"[""celadon""]"
46938,green,137.7611,7.7611,0.253698,0.328334,5,False,"[""green""]"
468391,green,122.1058,7.8942,0.003935,0.124633,2,False,"[""blue_green_family""]"
453047,green,137.9891,7.9891,0.324329,0.349236,7,False,"[""green""]"
460659,green,138.0,8.0,0.005702,0.087719,1,False,"[""blue_green_family""]"
50738,green,138.0921,8.0921,0.119574,0.155744,5,False,"[""celadon""]"
51050,green,138.1321,8.1321,0.147335,0.159761,5,False,"[""celadon""]"
