objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
37455,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37457,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37458,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37475,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37476,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37477,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37478,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37479,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37482,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37496,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37510,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37524,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37537,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37540,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37543,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37555,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37557,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37558,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37563,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37649,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
37657,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
38308,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
38546,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39484,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39496,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39500,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39501,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39505,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39506,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39510,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
39511,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
