object_id,cluster,cluster_type
204671,cluster_3,core
204753,cluster_4,core
204844,cluster_4,core
205087,cluster_1,weird_cluster
205096,cluster_11,core
205100,cluster_3,core
205252,cluster_9,core
205254,cluster_2,weird_cluster
205321,cluster_9,core
205322,cluster_9,core
205323,cluster_9,core
205324,cluster_2,weird_cluster
205325,cluster_2,weird_cluster
205326,cluster_9,core
205327,cluster_2,weird_cluster
205328,cluster_10,core
205330,cluster_8,core
205335,cluster_10,core
205336,cluster_9,core
205378,cluster_11,core
205379,cluster_11,core
205381,cluster_1,weird_cluster
205382,cluster_11,core
205470,cluster_4,core
205471,cluster_2,weird_cluster
205476,cluster_9,core
205825,cluster_1,weird_cluster
205826,cluster_9,core
205827,cluster_8,core
205832,cluster_9,core
205835,cluster_9,core
205845,cluster_9,core
205878,cluster_9,core
205914,cluster_2,weird_cluster
205919,cluster_9,core
205922,cluster_10,core
205929,cluster_0,outliers
205930,cluster_0,outliers
205935,cluster_0,outliers
205936,cluster_3,core
205973,cluster_2,weird_cluster
205979,cluster_0,outliers
206024,cluster_10,core
206025,cluster_10,core
206058,cluster_10,core
206073,cluster_2,weird_cluster
206107,cluster_1,weird_cluster
206142,cluster_10,core
206318,cluster_4,core
206319,cluster_4,core
206328,cluster_5,core
206385,cluster_6,core
206392,cluster_0,outliers
206393,cluster_4,core
206433,cluster_1,weird_cluster
206454,cluster_2,weird_cluster
206507,cluster_0,outliers
206508,cluster_2,weird_cluster
206517,cluster_2,weird_cluster
206522,cluster_3,core
206629,cluster_10,core
206654,cluster_1,weird_cluster
206669,cluster_9,core
206742,cluster_2,weird_cluster
206796,cluster_4,core
206914,cluster_10,core
207123,cluster_10,core
207124,cluster_8,core
207145,cluster_1,weird_cluster
207152,cluster_1,weird_cluster
207153,cluster_0,outliers
207189,cluster_0,outliers
207247,cluster_0,outliers
207319,cluster_0,outliers
207383,cluster_9,core
207399,cluster_3,core
207404,cluster_2,weird_cluster
207469,cluster_3,core
207470,cluster_3,core
207477,cluster_5,core
207564,cluster_9,core
207713,cluster_1,weird_cluster
207745,cluster_4,core
207775,cluster_6,core
207776,cluster_6,core
207777,cluster_1,weird_cluster
207779,cluster_3,core
207815,cluster_7,core
207847,cluster_1,weird_cluster
207850,cluster_4,core
207983,cluster_6,core
207984,cluster_8,core
207990,cluster_10,core
208001,cluster_4,core
208006,cluster_11,core
208009,cluster_5,core
208029,cluster_10,core
208035,cluster_10,core
208036,cluster_9,core
208040,cluster_4,core
208083,cluster_4,core
208120,cluster_8,core
208121,cluster_7,core
208122,cluster_7,core
208140,cluster_10,core
208152,cluster_9,core
208156,cluster_4,core
208181,cluster_8,core
208199,cluster_0,outliers
208243,cluster_8,core
208245,cluster_4,core
208248,cluster_7,core
208279,cluster_4,core
208307,cluster_3,core
208337,cluster_3,core
208387,cluster_11,core
208388,cluster_1,weird_cluster
208389,cluster_6,core
208397,cluster_4,core
208398,cluster_9,core
208403,cluster_7,core
208409,cluster_6,core
208421,cluster_10,core
208422,cluster_4,core
208439,cluster_5,core
208440,cluster_1,weird_cluster
208450,cluster_9,core
208459,cluster_5,core
208486,cluster_9,core
208542,cluster_4,core
208546,cluster_10,core
208554,cluster_7,core
208556,cluster_6,core
208806,cluster_6,core
208811,cluster_9,core
208822,cluster_11,core
209254,cluster_6,core
209256,cluster_3,core
209997,cluster_1,weird_cluster
210162,cluster_1,weird_cluster
210179,cluster_2,weird_cluster
210743,cluster_6,core
210750,cluster_4,core
210783,cluster_0,outliers
231768,cluster_11,core
231832,cluster_10,core
231853,cluster_9,core
231854,cluster_9,core
231855,cluster_9,core
232031,cluster_8,core
232205,cluster_10,core
232222,cluster_11,core
232384,cluster_2,weird_cluster
234883,cluster_8,core
234894,cluster_8,core
238560,cluster_4,core
239354,cluster_4,core
239355,cluster_9,core
239357,cluster_4,core
239358,cluster_9,core
239359,cluster_4,core
239363,cluster_8,core
239364,cluster_4,core
239483,cluster_9,core
239486,cluster_3,core
239488,cluster_3,core
239494,cluster_9,core
239496,cluster_9,core
239497,cluster_9,core
239498,cluster_4,core
239499,cluster_3,core
239504,cluster_3,core
239506,cluster_9,core
239510,cluster_2,weird_cluster
239561,cluster_6,core
239563,cluster_8,core
2646,cluster_8,core
307472,cluster_8,core
307473,cluster_8,core
307474,cluster_1,weird_cluster
307614,cluster_1,weird_cluster
307615,cluster_3,core
307619,cluster_5,core
307620,cluster_5,core
307622,cluster_5,core
307863,cluster_0,outliers
307864,cluster_0,outliers
307865,cluster_5,core
307866,cluster_5,core
307868,cluster_1,weird_cluster
307869,cluster_4,core
307870,cluster_4,core
307871,cluster_0,outliers
307873,cluster_4,core
308291,cluster_5,core
308292,cluster_5,core
308293,cluster_5,core
308294,cluster_5,core
308296,cluster_5,core
308297,cluster_5,core
308298,cluster_1,weird_cluster
308300,cluster_5,core
308301,cluster_6,core
308303,cluster_5,core
308304,cluster_1,weird_cluster
308347,cluster_6,core
308348,cluster_7,core
308349,cluster_0,outliers
308350,cluster_5,core
308352,cluster_0,outliers
308354,cluster_6,core
308355,cluster_5,core
308359,cluster_5,core
308362,cluster_1,weird_cluster
308363,cluster_6,core
308379,cluster_5,core
308380,cluster_5,core
308381,cluster_4,core
308382,cluster_8,core
308383,cluster_2,weird_cluster
308386,cluster_10,core
308387,cluster_6,core
308388,cluster_8,core
308403,cluster_6,core
308404,cluster_8,core
308405,cluster_8,core
308406,cluster_6,core
308408,cluster_10,core
308409,cluster_8,core
308410,cluster_2,weird_cluster
308411,cluster_2,weird_cluster
308412,cluster_4,core
308413,cluster_4,core
308414,cluster_0,outliers
308415,cluster_0,outliers
308417,cluster_2,weird_cluster
308420,cluster_7,core
308423,cluster_2,weird_cluster
308424,cluster_6,core
308425,cluster_6,core
308426,cluster_6,core
308428,cluster_6,core
308439,cluster_8,core
308440,cluster_5,core
308441,cluster_1,weird_cluster
308446,cluster_6,core
308447,cluster_5,core
308448,cluster_3,core
308450,cluster_5,core
308451,cluster_6,core
308452,cluster_0,outliers
308455,cluster_1,weird_cluster
308456,cluster_6,core
308457,cluster_5,core
308458,cluster_5,core
308459,cluster_5,core
308463,cluster_5,core
308464,cluster_1,weird_cluster
308465,cluster_5,core
308466,cluster_5,core
308476,cluster_0,outliers
308477,cluster_0,outliers
308483,cluster_5,core
308486,cluster_3,core
308487,cluster_5,core
308491,cluster_5,core
308492,cluster_7,core
308507,cluster_10,core
308508,cluster_10,core
308510,cluster_8,core
308511,cluster_8,core
308512,cluster_8,core
308513,cluster_6,core
308514,cluster_8,core
308515,cluster_6,core
308516,cluster_8,core
308518,cluster_8,core
308519,cluster_8,core
308520,cluster_8,core
308521,cluster_8,core
308523,cluster_1,weird_cluster
308524,cluster_0,outliers
308525,cluster_6,core
308526,cluster_2,weird_cluster
308527,cluster_10,core
308528,cluster_10,core
308529,cluster_8,core
308530,cluster_10,core
308531,cluster_7,core
308532,cluster_2,weird_cluster
308533,cluster_8,core
308534,cluster_8,core
308535,cluster_8,core
308538,cluster_8,core
308540,cluster_4,core
308541,cluster_8,core
308542,cluster_8,core
308544,cluster_8,core
308545,cluster_8,core
308546,cluster_8,core
308549,cluster_8,core
308550,cluster_6,core
308552,cluster_0,outliers
308554,cluster_0,outliers
308555,cluster_0,outliers
308556,cluster_8,core
308557,cluster_8,core
308558,cluster_0,outliers
308560,cluster_4,core
308561,cluster_2,weird_cluster
308563,cluster_4,core
308565,cluster_8,core
